Date,State,Abbreviation,Regular,Mid-Grade,Premium,Diesel
2026-04-01,North Dakota,ND,3.435,3.8,4.196,4.594
2026-04-01,Ohio,OH,3.776,4.305,4.818,5.034
2026-04-01,Oklahoma,OK,3.27,3.697,3.974,4.489
2026-04-01,Oregon,OR,4.956,5.188,5.456,6.132
2026-04-01,Pennsylvania,PA,4.039,4.467,4.847,5.933
2026-04-01,Rhode Island,RI,3.894,4.544,5.0,5.745
2026-04-01,South Carolina,SC,3.8,4.236,4.633,5.476
2026-04-01,South Dakota,SD,3.496,3.61,4.132,4.612
2026-04-01,Tennessee,TN,3.817,4.271,4.669,5.331
2026-04-01,Texas,TX,3.77,4.242,4.62,5.114
2026-04-01,Utah,UT,4.197,4.481,4.724,5.483
2026-04-01,Vermont,VT,3.955,4.429,4.899,5.768
2026-04-01,Virginia,VA,3.972,4.423,4.803,5.663
2026-04-01,Washington,WA,5.359,5.614,5.86,6.667
2026-04-01,West Virginia,WV,3.911,4.341,4.782,5.379
2026-04-01,Wisconsin,WI,3.755,4.224,4.842,4.736
2026-04-01,Wyoming,WY,3.841,4.155,4.437,4.986
2026-04-02,Alabama,AL,3.798,4.24,4.645,5.354
2026-04-02,Alaska,AK,4.599,4.81,5.082,5.71
2026-04-02,Arizona,AZ,4.688,5.071,5.391,6.049
2026-04-02,Arkansas,AR,3.525,3.977,4.313,4.934
2026-04-02,California,CA,5.891,6.131,6.315,7.559
2026-04-02,Colorado,CO,3.83,4.229,4.561,4.882
2026-04-02,Connecticut,CT,4.024,4.535,4.938,5.894
2026-04-02,Delaware,DE,3.884,4.456,4.759,5.747
2026-04-02,District of Columbia,DC,4.2,4.749,5.133,5.7
2026-04-02,Florida,FL,4.232,4.676,5.0,5.82
2026-04-02,Georgia,GA,3.701,4.175,4.59,5.254
2026-04-02,Hawaii,HI,5.503,5.694,5.946,6.805
2026-04-02,Idaho,ID,4.268,4.564,4.813,5.505
2026-04-02,Illinois,IL,4.266,4.831,5.316,5.143
2026-04-02,Indiana,IN,3.949,4.495,4.982,5.171
2026-04-02,Iowa,IA,3.48,3.661,4.335,4.847
2026-04-02,Kansas,KS,3.334,3.679,3.998,4.558
2026-04-02,Kentucky,KY,3.904,4.433,4.862,5.095
2026-04-02,Louisiana,LA,3.749,4.182,4.574,5.226
2026-04-02,Maine,ME,3.911,4.456,4.944,5.8
2026-04-02,Maryland,MD,4.063,4.614,4.961,5.853
2026-04-02,Massachusetts,MA,3.861,4.438,4.83,5.776
2026-04-02,Michigan,MI,3.886,4.481,5.043,4.984
2026-04-02,Minnesota,MN,3.546,3.97,4.475,4.873
2026-04-02,Mississippi,MS,3.711,4.139,4.523,5.197
2026-04-02,Missouri,MO,3.486,3.909,4.21,4.628
2026-04-02,Montana,MT,3.753,4.08,4.432,4.835
2026-04-02,Nebraska,NE,3.426,3.604,4.078,4.621
2026-04-02,Nevada,NV,4.942,5.26,5.548,6.254
2026-04-02,New Hampshire,NH,3.869,4.392,4.853,5.721
